estimate_id,board_project_id,version,status,estimate_no,item_category,item_code,item_name,quantity,unit,unit_price,amount,remarks
EST001,12345,1,確定,見積-2024-001,室料,ROOM_L1,大部屋A,2,泊,25000,50000,1泊2日
EST002,12345,1,確定,見積-2024-001,個人料金,PAX_ADULT,大人料金,20,人泊,3000,60000,大人20名×2泊
EST003,12345,1,確定,見積-2024-001,個人料金,PAX_STUDENT,学生料金,10,人泊,2500,25000,学生10名×2泊
EST004,12345,1,確定,見積-2024-001,食事,MEAL_DINNER,夕食,30,食,800,24000,1日目夕食
EST005,12345,1,確定,見積-2024-001,食事,MEAL_BREAKFAST,朝食,30,食,600,18000,2日目朝食
EST006,12346,1,見積中,見積-2024-002,室料,ROOM_M1,中部屋B,4,泊,18000,72000,2泊3日
EST007,12346,1,見積中,見積-2024-002,個人料金,PAX_STUDENT,学生料金,25,人泊,2800,140000,学生25名×2泊
EST008,12346,1,見積中,見積-2024-002,施設利用,FACILITY_HALL,研修ホール,6,時間,2000,12000,3時間×2日
EST009,12347,1,確定,見積-2024-003,室料,ROOM_S1,小部屋C,3,泊,12000,36000,1泊2日
EST010,12347,1,確定,見積-2024-003,個人料金,PAX_ADULT,大人料金,15,人泊,3200,48000,大人15名×1泊
